#OTU ID	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3
149aab91ac994c5dc12563d51dd510ea	2300	1270	0	1692	1950	2300	1800	1177	876	17279	20568	17563	2078	1691	1366	996	1290	641	1061	631	643	636	1039	943	13825	17578	17068	1523	2204	12659	1805	1880	1814	1975	813	1131	843	1081	996	15451	13314	11584	14349	4236	5033	651	851	837	684	923	887	1897	1621	3043	25715	30506	27068	667	0	0
1fa3c4bdb87d6beb4cbae677154e5f5d	2848	1902	53	1621	1353	1943	11792	21061	24697	5729	2704	3484	1199	3619	3077	1720	1913	1507	2950	3859	4087	18088	13572	10903	1212	792	865	128	170	241	3103	1524	1945	799	1462	1751	8214	13632	14219	2485	5857	2224	3836	2255	1124	1181	1315	1604	2516	3003	3161	11047	12748	12755	3328	1046	1033	922	127	122
1308f2128c758682261072b2788f2de3	1068	979	0	1479	2468	1692	891	1526	618	1327	2080	1444	1594	2557	3040	1913	3134	1363	3511	4387	3648	661	814	751	14610	10690	13728	6478	24706	14560	2119	1838	1688	3958	1370	1312	576	706	541	1579	940	1227	1754	2070	3021	822	1190	1211	3874	3312	2838	853	750	1213	4955	7650	7109	3558	1176	4957
c8b9912d3f3e89c87a75c2ed2097684f	1215	882	33	2010	1390	1152	1050	910	625	10027	16568	10974	6338	6034	6883	2616	2116	657	1318	1208	852	577	839	706	3771	3725	2422	5185	6271	2399	1154	1078	1108	1271	623	1242	543	926	519	908	552	6380	13162	1773	9090	1583	2055	1232	2197	1345	1405	298	338	674	2806	3329	1917	504	183	5582
6de5850d5255d4b39df37d19584a64e2	642	359	0	514	468	588	11436	4405	6562	2697	1141	1945	415	1148	919	919	968	469	1221	1120	1156	18378	18377	14067	936	0	0	0	0	0	1219	476	951	0	369	469	5267	11014	12175	1297	1722	782	521	396	403	306	460	456	563	853	1114	9229	12170	10843	362	305	387	367	0	0
875b441e6124f7fb58bcbec9ea29d6c0	1105	448	63	998	398	307	182	255	249	354	247	320	13745	15070	9071	708	1201	517	207	192	213	162	234	212	1544	949	1215	2493	3749	1480	268	283	357	551	786	751	17402	1234	1620	11503	17482	2286	635	1085	9180	1520	1000	899	620	152	133	519	605	417	101	100	337	784	610	142
97acbdbffa421cf28ab5189d4bb87a04	2629	598	0	859	599	635	1993	1355	1182	2389	1486	1759	4007	5039	1757	1671	1370	625	1008	1308	1142	10066	9778	7054	3274	3732	1595	9594	458	694	2373	1194	1678	1420	356	482	1329	2951	1509	1210	1327	872	1373	1130	1929	332	682	694	963	1315	1048	5639	6568	5615	2041	2016	2937	574	0	10
25180fb16fb22d1cf69481b19d082239	1793	1580	1104	5797	4778	3913	3018	3136	3236	1355	907	981	2772	970	714	1975	2039	1744	1327	1524	1615	1189	651	543	594	602	220	560	622	563	1772	1562	1884	5443	5298	7428	2998	2057	2366	2564	1900	3952	1031	1337	2494	1900	1411	1580	1464	1287	1208	846	989	1404	324	523	493	345	1321	1170
7c958851b17e9c461bc4bd2d2cfcbbfc	262	145	206	321	90	116	158	126	92	117	105	132	3307	3733	2258	255	362	229	94	82	73	57	60	66	347	256	329	561	976	452	197	174	249	170	850	1055	848	2079	1274	6960	1261	28670	875	36800	2821	1071	261	294	0	117	241	278	156	1309	0	452	73	203	191	71
9bcf1a3c6cbf389abec5425df6af9ab9	1159	341	0	1288	354	514	4917	2654	2636	801	392	766	428	1512	555	2407	2085	1633	690	621	1197	3587	1797	4130	514	691	229	191	171	214	569	255	560	368	702	351	801	2718	2926	770	750	383	226	148	153	2373	4093	1295	518	943	847	7098	5302	7548	580	303	317	529	5123	133
4ec2ddfb6a9f14884571449e925c7e88	66	153	30	461	262	325	557	392	236	46	152	140	54	699	575	2236	754	2016	8489	6777	5828	300	445	457	430	282	196	294	216	389	67	169	129	324	247	382	745	869	390	83	109	62	87	105	78	2125	1341	963	13259	12425	8048	470	392	543	474	521	492	794	136	111
a51b05d5f58d466cc34f1e292a9430e7	1360	840	501	2437	6989	2482	583	332	342	587	478	587	639	1022	280	620	919	267	776	632	565	133	137	170	400	623	249	400	791	331	1387	1614	1890	4207	4704	4653	1414	1876	2518	1840	537	2730	559	1622	730	754	1145	853	990	1139	1143	412	444	1099	466	1132	1086	2557	3812	2678
f3578a18bf1ac340a44a65e28bd23c36	487	213	0	426	159	173	61	0	0	181	77	128	5687	6181	4183	344	526	236	65	81	80	66	0	68	625	384	560	991	1765	679	114	134	103	209	453	514	13103	703	867	9035	13529	1258	450	632	4317	706	376	352	392	83	0	330	432	189	0	0	138	336	247	0
