#OTU ID	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3
21dbdaace9224e1532205fd7f1271b22	107698	115236	119579	115722	56089	103961	116535	102947	27380	119909	116874	114729	118103	126688	117511	116975	126558	123294	89205	92800	84198	117745	112277	111714	105068	105630	112680	31468	110997	111127	113010	111797	99904	87731	98836	105543	89103	46475	80957	77800	71539	104283	101751	95577	77940	103131	94644	105487	100571	84228	98905	115835	103823	114180	126852	113121	116403	121867	108597	116055
9fabb884ab69ae0fcad8f18db9625314	423	0	0	588	259	667	570	597	1076	431	0	0	841	590	359	794	1403	511	15809	14992	13638	16244	15122	14398	20181	20936	15775	2781	17570	16565	15704	16763	23226	14737	13150	18859	15890	8583	13186	13554	27974	21196	20408	19208	17585	20012	18793	18333	320	0	0	0	271	358	0	0	0	0	0	364
f95ba4ebdb62ebbeaa8a31d946b551f9	0	115	0	6031	42609	4375	145	584	571	0	0	0	361	338	1428	459	513	335	9127	8836	12779	182	723	279	0	168	383	0	0	0	403	0	169	28	81	34	0	0	0	0	0	0	0	0	0	0	0	0	11972	25400	13278	351	527	1278	1261	0	0	109	501	824
d5417a460c0601cf30aed8c9462c31b0	97	243	124	538	827	509	3954	18038	1114	406	45	0	914	3	12	505	110	311	204	312	3415	2818	1249	1425	61	287	882	461	183	44	221	0	0	81	5	0	2507	322	188	18	0	49	0	0	7	0	2	0	1903	0	2592	6088	14931	3318	537	12	2	0	4	150
1fd9426fd82dbe1663b15cedd10ff25b	0	6	0	3090	22438	9883	48	115	204	0	0	0	113	49	561	134	267	79	260	331	5832	95	164	109	0	25	207	0	0	0	173	0	32	10	11	10	0	0	0	0	0	0	0	0	0	0	0	0	1218	312	1875	127	212	498	448	0	0	19	184	403
6455276bf1abef1de274c23c0b47ba64	1459	1536	1807	1642	105	1576	1984	1530	338	1514	1634	1547	0	1638	1567	1635	1741	1595	0	0	0	0	0	0	0	130	0	263	0	126	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	1411	1323	1676	1411	1579	1843	1621	1756	1899	1731	1574
cff9209677be87a57e58b7a8a4163c32	1810	1368	1872	436	439	410	188	222	185	1098	788	1295	205	621	1408	152	838	177	109	92	346	389	194	217	749	530	317	303	617	490	389	368	565	396	263	264	415	345	220	291	696	742	866	957	338	999	693	979	513	389	740	364	402	887	367	673	2431	1765	1966	1120
f765d0b8b4601e97616caa20a4b73e0f	0	9	0	451	1346	939	137	381	433	0	0	0	291	174	372	360	164	297	5716	9595	3908	45	174	84	0	0	116	0	0	0	141	0	76	7	16	4	0	0	0	0	0	0	0	0	0	0	0	0	3656	562	1160	37	40	132	102	0	0	88	134	245
352d386293a59777de3e3e6a91f58466	0	29	0	850	499	941	63	132	144	0	0	0	138	161	22	136	62	110	5343	483	1703	26	123	38	0	23	57	0	0	0	52	0	74	22	191	106	0	0	0	0	0	0	0	0	0	0	0	0	945	6475	1579	21	24	60	62	0	0	73	12	110
f382ad80c51a08f1de20b05859b97a47	0	621	609	476	0	450	510	516	0	451	520	553	0	485	474	552	560	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	431	418	499	496	565	565	531	578	468	586	515
b64ebe71d158a76915d6e2b39e10d2dd	950	613	570	169	146	179	155	161	62	319	373	328	191	317	289	113	272	113	89	75	96	108	91	83	133	138	74	90	86	82	94	73	178	90	94	81	67	39	63	60	453	167	149	159	90	170	152	97	145	184	151	145	168	191	158	527	376	240	564	571
f44f813b3948fd0c4a33e2a254bbc527	954	387	396	82	166	124	139	78	39	350	321	187	166	183	217	74	181	67	45	70	87	94	90	78	153	148	89	43	111	104	69	127	190	68	92	92	110	40	68	75	601	123	139	104	87	154	181	102	109	156	96	95	110	85	81	417	202	227	531	475
2cf2ffb7be9d67e139fdf8118809fcaa	875	677	467	108	104	120	143	87	41	208	310	267	114	207	220	113	242	96	21	51	41	57	42	64	95	108	54	67	68	64	41	64	124	31	45	86	41	33	28	34	255	87	105	85	47	91	103	75	95	122	136	136	78	126	110	336	251	148	523	450
2e36888abd9b7a1a7ef6919470ec4d12	0	0	12	0	113	0	5	25	40	162	17	0	204	0	0	15	0	0	0	0	0	54	42	123	0	0	189	27	86	14	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	155	383	5502	963	183	0	0	0	0	0
ccc0bb5adaa34f9b175253bf4207b2f1	289	317	0	354	359	0	296	291	0	0	339	346	753	333	0	387	292	383	0	0	0	0	288	0	0	0	287	0	0	0	0	302	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	258	312	291	0	299	251	341	0	285	0
e13a0d98fc803692cb5ded360623cbe8	595	429	410	101	76	134	97	91	71	203	264	231	133	196	162	82	153	61	29	61	26	50	60	34	77	57	57	53	62	65	44	45	161	43	51	53	38	30	41	45	237	114	74	96	56	118	120	67	108	155	139	97	92	110	105	274	195	161	247	433
42ae792e87eb9fa2ed61b57a347019e4	869	688	500	160	94	102	106	104	70	196	303	354	117	223	306	107	181	101	24	0	0	23	16	11	20	40	12	59	11	25	36	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	109	148	145	92	164	139	351	343	167	429	322
47573be7d1ca0cd06061c90337c74e09	578	450	432	0	0	0	0	0	0	0	278	309	0	0	0	0	0	0	0	0	0	0	0	0	323	250	0	0	0	0	0	0	395	0	0	0	0	0	0	0	850	351	323	351	0	404	370	314	0	0	0	0	0	0	0	272	0	0	391	403
6253b33a4be1189849a429935239fcc4	476	445	381	82	73	74	89	82	28	183	262	207	102	171	213	79	175	73	17	29	25	61	40	49	66	69	44	41	49	74	48	60	139	41	51	54	34	22	49	38	145	106	95	109	54	91	129	66	74	106	70	102	88	117	110	307	180	116	301	362
3ce502d61b0d9bd9ea285cd60cd4008f	526	333	447	110	68	108	97	75	44	178	260	208	92	161	157	56	184	56	22	39	24	40	31	68	67	63	43	34	33	60	44	46	135	26	34	37	40	23	29	30	356	61	61	61	24	68	91	57	69	125	76	73	90	97	96	274	231	161	318	365
5a02daadf62cc933e0436b50a2c90290	374	353	256	0	0	0	0	0	232	333	382	376	408	356	290	444	390	394	0	0	0	0	0	0	0	230	0	263	0	0	0	221	238	0	0	0	0	0	0	0	0	0	0	0	0	211	197	0	0	0	0	0	0	0	266	272	0	0	0	350
eb4af54f4b883db1d57704c7e0181409	783	604	440	113	91	120	93	95	41	191	264	226	107	192	245	70	259	59	0	0	0	0	0	0	0	20	0	32	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	102	140	103	87	128	115	300	250	170	492	672
