OTU ID	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.7_1	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_3	RNC10.7_2	RNC10.7_3	RNC.no_1	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_2	RAF.no_3	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1
74fe967250babba611efe9cd5da3fe57	11052	405	355	13040	29314	8587	110173	69608	75584	71550	61015	3204	774	513	15034	612	508	0	0	107309	0	8272	5257	28213	62183	25868	16360	0	125707	92029	0	123952	73460	1989	578	0	2257	636	1692	91166
81f05ee63860d540445db3cdc25d7f21	1175	1580	3365	101921	68293	107416	5609	244	4383	183	6657	5123	7701	6022	92432	93873	110122	3195	1082	1578	3303	4456	2934	7117	30822	100364	100783	2674	0	122	366	96	140	4493	3188	6186	108114	107658	99640	11199
60751927dd603f13672f48d281e64984	113421	103090	56882	4775	5223	2726	2829	46	8045	0	7242	80153	74537	101993	5130	2379	361	1305	4284	2753	1423	119911	128099	62519	6000	4210	6272	2830	0	0	405	0	0	69182	98090	100604	3818	3788	6934	9433
8c5bc82d07f32be6e2de3b8b24ccaca9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92266	119448	0	102068	0	0	0	0	0	0	121064	0	0	129130	0	0	0	0	6365	0	0	0	0
ab068649fd6d5ff2bb9b206ee247a5d9	459	1719	11863	1496	1307	768	174	0	3504	0	2873	9345	34786	12523	583	693	145	396	471	249	16	3133	2564	17380	1212	2123	1141	123	0	121	84	0	0	45583	19940	10288	1513	3173	2470	1508
19402d0a301a43e93759f4909ae82661	138	598	428	1031	10418	5681	629	0	705	40	1287	1856	1145	1110	9018	24906	6213	307	94	321	347	195	602	562	13941	792	864	283	0	0	24	0	0	568	907	957	9000	7386	12259	1609
c9ac8449452102dac2926803e5f77c37	6253	648	4798	144	182	129	195	0	86	0	99	448	52	171	167	29	37	26	203	178	79	1052	2240	1429	198	109	114	120	0	0	10	0	0	214	269	169	55	33	52	387
c57aaf563247f15d56dec1b716de4d54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6256	0	0	10662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81017a95159d102db0e7fb31253c9d19	0	0	12595	314	376	346	227	0	53	0	64	50	121	65	19	0	123	7	14	10	0	24	39	156	49	44	44	0	0	0	0	0	0	21	37	59	11	22	33	0
ffdc856c9dcec33d571f05a5fdefe281	11	23	37	1093	733	995	59	0	48	0	96	57	98	62	990	1113	1129	43	14	0	48	54	40	57	207	793	894	36	0	0	0	0	0	52	45	60	1192	1114	1059	107
023eb27d7313092130ce8896b92cf3eb	0	0	0	965	731	986	0	0	0	0	0	0	0	0	1097	1133	1115	0	0	0	0	0	0	0	265	852	866	0	0	0	0	0	0	0	0	0	1197	1118	881	133
05a4f25f7ae16a42185c756a02366ba3	0	0	0	735	0	768	0	0	0	0	0	0	0	0	871	793	1013	0	0	0	0	0	0	0	0	782	958	0	0	0	0	0	0	0	0	0	909	0	0	0
31cf38998410ceecf1845bd4764af31c	27	203	379	35	58	81	18	0	73	0	213	469	383	391	33	48	17	34	53	42	0	225	316	1549	182	107	92	23	0	0	9	0	0	363	156	554	90	75	89	52
02848795fcee0a0f05811f1deae957ca	35	56	2064	140	122	117	47	0	31	0	35	0	0	0	0	5	13	11	36	4	0	1358	665	1081	55	53	59	44	0	0	6	0	0	45	23	26	0	0	0	0
7a3675b4fed0ad83b4378018301a156d	321	524	76	36	48	20	0	0	33	0	32	0	0	0	0	14	0	11	45	19	0	1160	1226	835	81	53	73	39	0	0	0	0	0	46	52	34	0	0	0	16
df24112f371f1daa81f90a5b439a8ed8	0	0	0	762	0	0	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3928	0	20	4	23	0	0	0	0	0	0
562d8406cd7789e74360b069e7877492	14	234	1352	56	64	90	33	0	42	0	116	9	19	0	0	11	9	41	26	12	0	450	139	1250	81	78	57	34	0	0	0	0	0	32	21	98	0	5	0	0
028232ebad5f28697e3621e2cd36c987	69	2280	15	0	19	16	0	0	0	24	42	0	14	0	0	95	0	0	108	108	0	136	363	246	44	46	49	0	0	0	0	0	0	17	38	22	0	0	0	0
029eb17fe3007bb7324f84b7c81c0b15	8	0	0	0	0	0	2186	2	0	695	0	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	27
ae769df9dcdfd2b152fdd23683814027	11	0	3	16	51	7	154	194	354	217	125	8	2	2	22	0	0	125	101	486	40	22	9	26	29	31	14	83	123	135	45	199	172	6	0	0	3	0	0	13
a12cfd32e2aae85325dfe379bbf689c6	0	0	0	152	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2401	0	0	0	0	0	0	0	0	0	0
9256782a5ad0e3fd7c6f1c47d5edeabc	10	12	38	0	53	19	0	0	24	0	66	105	17	264	9	18	0	10	13	5	0	48	81	514	52	23	46	0	0	0	7	0	0	34	811	105	40	44	60	36
cf5c030ee929023d26860e3a4c402438	11	0	0	13	15	4	49	148	201	177	56	0	4	2	11	3	8	110	74	274	232	15	0	25	28	70	41	93	72	85	55	106	99	2	0	0	0	0	0	18
bae4f0e0302501f96f379b91a253d1d7	35	0	0	0	0	0	0	0	0	0	0	5	0	0	23	0	0	127	55	583	172	0	0	28	85	60	0	189	160	180	124	164	106	0	0	0	0	0	0	0
80e1894154d0930fcebf5f1db76f2713	0	0	0	411	0	0	4	8	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	0	9	7	0	0	0	0	0	0	0
2fb4e8238cda7a4602a4d00d59161e21	0	8	1342	179	188	136	94	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
bf7ee936808c9e68533ff28303c20abd	3	42	58	9	10	47	0	0	0	0	102	16	8	13	0	0	0	25	33	5	0	53	100	1016	70	67	65	19	0	0	7	0	0	8	13	115	5	0	0	4
0f625c82408a65888015ca8e0547c5f6	5	0	2	10	18	0	52	108	176	186	33	0	0	0	10	0	6	153	106	225	210	18	13	12	12	27	27	48	84	111	32	110	64	0	0	6	0	0	0	37
e66079f72ba6bb78ce062f40997ca52b	57	0	0	43	10	0	0	0	37	0	16	26	21	200	8	0	0	0	0	0	0	675	27	44	0	0	27	0	0	0	0	0	0	250	33	83	0	0	18	12
f2bd2f4227437dc3d354c6baaf749217	0	0	0	33	13	14	542	241	275	172	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	0	11	0	0	0	0	0	118
8335b21d8c261f9f9a03b31ac8995312	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	154	85	0	101	0	0	0	0	0	0	109	156	0	147	57	80	0	0	11	0	0	0	104
04152e150aa635e23513433c46c26737	12	0	0	0	0	0	0	0	0	0	0	7	0	0	32	0	0	15	134	57	109	0	0	35	84	10	12	137	133	64	65	83	117	0	0	0	0	0	0	10
794001f292b759c5556fac1b75b627e5	0	0	0	30	5	12	257	136	280	202	55	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	13	3	9	0	0	0	76
f96bccb9c79e0e85372cd663e9046740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0757a431ca591459a27a866dcee31ce4	0	0	0	0	25	0	0	131	142	66	152	0	0	0	0	0	0	0	33	126	0	0	0	77	0	0	0	0	75	82	82	0	0	0	0	0	0	0	0	0
774f4ee87376be3e41adc4269a490c4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	497	0	0	0	0	0	0	0	0
63f518ab14a96d53d46dbc69b4359232	34	0	0	0	0	0	63	0	35	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	259	0	0	0	0	0	0	0	80	0	0	0	0	0	0	144
34ca452d7ae0e674cb34ca24df2461d9	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	79	0	0	133	0	0	0	0	0	0	121	68	0	0	164	0	0	0	0	0	0	0	193
ebb49c10946ef42dfafe5bf833165e27	76	0	0	0	0	0	0	0	13	0	21	17	39	469	29	0	0	0	10	0	0	0	0	2	0	0	44	0	0	0	0	0	0	0	0	0	0	3	47	8
469c7b9f5ba624821bd22f0f3e874a1b	0	0	8	0	4	8	0	0	0	0	3	22	0	0	0	0	0	0	0	13	0	18	15	19	603	21	15	10	0	0	0	0	0	0	0	0	18	0	0	0
a8ba75f0e1be30ffe23a8aa2e46cf200	8	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	77	20	259	103	0	0	13	18	16	10	37	40	41	18	54	47	0	0	0	4	0	0	0
f5b92eae268a08ae73d3e60a08aedace	0	0	0	6	15	5	95	90	101	29	7	0	0	0	5	0	0	51	9	47	40	5	2	0	5	0	0	12	50	42	4	53	49	0	0	0	0	0	0	3
e4f1c75395ed384554979ab6191ea3d0	0	0	0	22	14	0	84	0	111	108	40	0	0	0	0	0	0	33	0	0	28	0	0	0	0	0	0	55	50	18	0	36	45	0	0	0	0	0	0	0
5310dd16f435175262d1e229fd7d365f	0	0	0	0	0	0	0	0	0	483	0	2	0	0	0	0	0	0	7	146	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fdc586a2da069b5fa7d89aae5f0ec8d9	2	0	583	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
